来源,reason,原始相对路径,duration_sec,rms
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363029210000000000_333_2781704.wav,5.16,0.12469
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172360000000005_333_2786343.wav,5.3,0.10367
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363169400000000009_333_2785706.wav,5.41,0.12668
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010012800000000009_333_2790138.wav,4.94,0.10382
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363156870000000006_333_2784530.wav,5.11,0.10991
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363074260000000005_333_2782377.wav,5.11,0.11309
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363182290000000008_333_2787172.wav,5.06,0.06261
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009033340000000003_333_2789093.wav,5.06,0.12956
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363160030000000002_333_2784746.wav,9.97,0.11577
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009011280000000007_333_2787478.wav,4.9,0.07569
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010012430000000002_333_2789964.wav,5.22,0.11744
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010014850000000004_333_2790375.wav,4.96,0.09297
